FiscalYear,QTR,FiscalYearType,Account,Agency,OperatingUnit,BenefitingCountry,Category,Sector,Amount,Spent,Spent2
2009,2,Disbursements,Development Assistance, USAID ,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",ENVIRONMENT,Natural Resources and Biodiversity," $611,755.22 ",611755.22,611755.22
2010,3,Obgl.,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Vietnam,Program Management,Direct Administrative Costs, $(452.78),-452.78,-452.78
2011,3,Obligations,Global Health & Child Survival,usaid,Nicaragua,Nicaragua,Program Management,Direct Administrative Costs," $534,217.00 ",534217,534217
2009,3,Disbursements,Development Assistance, USAID ,Nigeria,Nigeria,Education and Social Services,Basic Education," $1,896,737.94 ",1896737.94,1896737.94
2014,2,Obligations,International Disaster Assistance,usaid,Caribbean Region,Caribbean Region,Program Management,Direct Administrative Costs," $(45,318.63)",-45318.63,-45318.63
2010,4,Obgl.,Development Assistance,usaid,China,China,ENVIRONMENT,Clean Productive Environment," $1,828,907.00 ",1828907,1828907
2012,3,Obligations,Economic Support Fund,U.S.A.I.D,Yemen,Yemen,Health,Family Planning and Reproductive Health, $(364.00),-364,-364
2013,2,Disbursements,International Disaster Assistance,usaid,Malawi,Malawi,Humanitarian Assistance,"Protection, Assistance and Solutions"," $1,929,235.77 ",1929235.77,1929235.77
2013,3,Obligations,N/A,usaid,Vietnam,Vietnam,ENVIRONMENT,Clean Productive Environment," $2,100,000.00 ",2100000,2100000
2010,3,Disbsmnt.,Economic Support Fund,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Tajikistan,Peace and Security,Conflict Mitigation and Reconciliation," $84,992.25 ",84992.25,84992.25
2013,2,Disbursements,Special Assistance Initiatives,usaid,Romania,Romania,Program Management,Direct Administrative Costs," $(102,521.00)",-102521,-102521
2014,2,Disbursements,N/A,usaid,Mauritania,Mauritania,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $1,474.20 ",1474.2,1474.2
2010,4,Obgl.,Economic Support Fund,usaid,Cambodia,Cambodia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $466,970.00 ",466970,466970
2011,4,Disbursements,Development Assistance,usaid,Madagascar,Madagascar,Program Management,Direct Administrative Costs," $30,510.06 ",30510.06,30510.06
2009,4,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,Nigeria,Nigeria,Health,Malaria," $94,627.49 ",94627.49000000001,94627.49000000001
2013,2,Obligations,Child Survival and Health Programs Fund,U.S.A.I.D,Bangladesh,Bangladesh,Health,Maternal and Child Health, $(275.50),-275.5,-275.5
2011,3,Disbursements,Economic Support Fund,usaid,Afghanistan,Afghanistan,Economic Development,Economic Opportunity," $9,307,173.73 ",9307173.73,9307173.73
2011,2,Disbursements,Economic Support Fund,usaid,West Bank and Gaza,West Bank and Gaza,DRG,Civil Society," $5,780,600.96 ",5780600.96,5780600.96
2012,1,Disbursements,Development Assistance,U.S.A.I.D,"USAID Democracy, Conflict and Humanitarian Assistance",Nepal,Health,Other Public Health Threats," $576,532.09 ",576532.09,576532.09
2014,2,Disbursements,Global Health & Child Survival,U.S.A.I.D,Tanzania,Tanzania,Health,Tuberculosis," $1,173,191.71 ",1173191.71,1173191.71
2009,2,Obligations,International Disaster Assistance, USAID ,"USAID Democracy, Conflict and Humanitarian Assistance",Eastern European Region,Humanitarian Assistance,Disaster Readiness," $4,224.00 ",4224,4224
2012,4,Obligations,Economic Support Fund,usaid,Pakistan,Pakistan,Econ. Dev.,Macroeconomic Foundation for Growth," $5,000,000.00 ",5000000,5000000
2013,3,Disbursements,N/A,U.S.A.I.D,Egypt,Egypt,Health,Water Supply and Sanitation," $210,634.22 ",210634.22,210634.22
2013,4,Disbursements,Global Health & Child Survival,U.S.A.I.D,Burkina Faso,Burkina Faso,Health,Malaria," $42,940.48 ",42940.48,42940.48
2011,1,Disbursements,Democracy Fund,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,DRG,Rule of Law and Human Rights," $1,533,132.33 ",1533132.33,1533132.33
2010,4,Disbsmnt.,"Assistance for Europe, Eurasia and Central Asia",usaid,Macedonia,Macedonia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $30,814.38 ",30814.38,30814.38
2011,4,Disbursements,Development Assistance,usaid,Senegal,Senegal,DRG,Good Governance," $1,054,333.66 ",1054333.66,1054333.66
2011,1,Disbursements,Development Assistance,usaid,Vietnam,Vietnam,Peace and Security,Transnational Crime," $38,698.67 ",38698.67,38698.67
2012,3,Disbursements,Operating Expenses,usaid,Azerbaijan,Worldwide,Program Management,Direct Administrative Costs," $631,764.18 ",631764.1800000001,631764.1800000001
2011,3,Obligations,Development Assistance,usaid,Ecuador,Ecuador,ENVIRONMENT,Natural Resources and Biodiversity," $2,583,000.00 ",2583000,2583000
2012,2,Disbursements,Development Assistance,usaid,Senegal,Senegal,Econ. Dev.,Private Sector Competitiveness," $120,038.26 ",120038.26,120038.26
2014,2,Disbursements,N/A,usaid,Ukraine,Ukraine,Program Management,Monitoring and Evaluation," $184,228.56 ",184228.56,184228.56
2012,2,Obligations,Development Assistance,usaid,Mexico,Mexico,ENVIRONMENT,Clean Productive Environment, $(575.00),-575,-575
2010,3,Obgl.,Economic Support Fund,usaid,Egypt,Egypt,Economic Development,Financial Sector," $83,600,000.00 ",83600000,83600000
2009,1,Disbursements,Assist. For N.I.S Of Former Soviet Union, USAID ,Kyrgyz Republic,Kosovo,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $205,305.76 ",205305.76,205305.76
2013,1,Disbursements,N/A,usaid,South Africa,South Africa,Economic Development,Trade and Investment," $1,778,066.88 ",1778066.88,1778066.88
2011,2,Disbursements,Special Assistance Initiatives,usaid,USAID Operating Expense,Worldwide,Economic Development,Macroeconomic Foundation for Growth, $11.73 ,11.73,11.73
20014,0,Obligations,N/A,DoD,Mauritania,Mauritania,Peace and Security,Counterterrorism," $30,700,000.00 ",30700000,30700000
2011,1,Disbursements,Special Assistance Initiatives,usaid,Albania,Albania,DRG,Rule of Law and Human Rights," $7,044.30 ",7044.3,7044.3
2012,1,Obligations,Global Health & Child Survival,usaid,Papua New Guinea,Philippines,Program Management,Direct Administrative Costs," $7,359.05 ",7359.05,7359.05
2009,2,Obligations,Global Health & Child Survival,U.S.A.I.D,Kazakhstan,Kazakhstan,Health,Tuberculosis," $7,730.34 ",7730.34,7730.34
2012,3,Disbursements,International Disaster Assistance,U.S.A.I.D,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Health,Pandemic Influenza and Other Emerging Threats , $(273.79),-273.79,-273.79
2011,3,Disbursements,N/A, MCC ,Lesotho,Lesotho,DRG,Civil Society," $49,226.00 ",49226,49226
2009,4,Disbursements,Economic Support Fund, USAID ,Mexico,Mexico,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $2,149,048.38 ",2149048.38,2149048.38
2011,4,Obligations,Global Health & Child Survival,U.S.A.I.D,USAID Global Health,Swaziland,Health,HIV/AIDS," $5,650,000.00 ",5650000,5650000
2010,4,Disbsmnt.,Development Assistance,usaid,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Economic Development,Infrastructure," $8,590,969.06 ",8590969.060000001,8590969.060000001
2009,3,Obligations,N/A, MCC ,Lesotho,Lesotho,Program Management,Direct Administrative Costs," $(122,318.00)",-122318,-122318
2014,2,Obligations,N/A,usaid,Central Africa Region Program for Environment,Central Africa Region Program for Environment,ENVIRONMENT,Natural Resources and Biodiversity," $2,400,000.00 ",2400000,2400000
2012,1,Obligations,Development Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Mozambique,Humanitarian Assistance,"Protection, Assistance and Solutions"," $(1,744.78)",-1744.78,-1744.78
2011,3,Disbursements,Global Health & Child Survival,usaid,Tanzania,Tanzania,Program Management,Monitoring and Evaluation," $150,135.93 ",150135.93,150135.93
2014,2,Obligations,International Disaster Assistance,usaid,Papua New Guinea,Papua New Guinea,Humanitarian Assistance,Disaster Readiness," $1,250,000.00 ",1250000,1250000
2010,4,Obgl.,Transition Initiatives,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Lebanon,"Democracy, Human Rights, and Governance",Civil Society, $(782.23),-782.23,-782.23
2009,1,Disbursements,Development Assistance, USAID ,Haiti,Haiti,Humanitarian Assistance,Disaster Readiness," $80,772.71 ",80772.71000000001,80772.71000000001
2009,3,Disbursements,Global Health & Child Survival,U.S.A.I.D,USAID Global Health,China,Health,Pandemic Influenza and Other Emerging Threats ," $41,484.55 ",41484.55,41484.55
2009,4,Disbursements,International Disaster Assistance, USAID ,"USAID Democracy, Conflict and Humanitarian Assistance",Mauritania,Humanitarian Assistance,"Protection, Assistance and Solutions"," $660,279.49 ",660279.49,660279.49
2014,1,Obligations,N/A,PEACE CORPS,Paraguay,Paraguay,,Environment - General," $305,755.99 ",305755.99,305755.99
2012,4,Obligations,Development Assistance,usaid,Uganda,Uganda,"Democracy, Human Rights, and Governance",Civil Society," $1,900,000.00 ",1900000,1900000
2013,3,Obligations,Economic Support Fund,usaid,Jamaica,Jamaica,Program Management,Direct Administrative Costs," $28,803.25 ",28803.25,28803.25
2007,4,Disbursements,N/A, MCC ,Senegal,Senegal,Economic Development,Private Sector Competitiveness," $414,376.86 ",414376.86,414376.86
2011,4,Obligations,Economic Support Fund,usaid,Nepal,Nepal,Economic Development,Private Sector Competitiveness," $2,100,000.00 ",2100000,2100000
2012,1,Disbursements,Economic Support Fund,usaid,Benin,Benin,Education and Social Services,Social Assistance," $89,297.88 ",89297.88000000001,89297.88000000001
2013,1,Disbursements,N/A,usaid,Nepal,Nepal,Economic Development,Agriculture," $2,267,752.23 ",2267752.23,2267752.23
2012,3,Obligations,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Peru,Humanitarian Assistance,Disaster Readiness," $42,805.60 ",42805.6,42805.6
2010,4,Obgl.,Economic Support Fund,usaid,Colombia,Colombia,Peace and Security,Stabilization Operations and Security Sector Reform," $17,935,000.00 ",17935000,17935000
2009,2,Obligations,Development Assistance, USAID ,Honduras,Honduras,"Democracy, Human Rights, and Governance",Good Governance," $(452,252.00)",-452252,-452252
2010,4,Obgl.,Development Assistance,usaid,Indonesia,Indonesia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $248,000.00 ",248000,248000
2010,2,Disbsmnt.,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Mozambique,Humanitarian Assistance,Disaster Readiness," $356,115.00 ",356115,356115
2011,2,Disbursements,Andean Counterdrug Initiative,usaid,Colombia,Colombia,Peace and Security,Stabilization Operations and Security Sector Reform," $4,238.26 ",4238.26,4238.26
2013,2,Obligations,N/A,usaid,West Africa Region,West Africa Region,Education and Social Services,Basic Education, $33.62 ,33.62,33.62
2013,1,Disbursements,N/A,usaid,Tajikistan,Tajikistan,Education and Social Services,Basic Education," $308,848.93 ",308848.93,308848.93
2012,3,Disbursements,Development Assistance,usaid,Philippines,Philippines,Econ. Dev.,Economic Opportunity," $430,435.85 ",430435.85,430435.85
2013,4,Obligations,Child Survival and Health Programs Fund,U.S.A.I.D,Kenya,Kenya,Health,Maternal and Child Health," $(1,103.83)",-1103.83,-1103.83
2010,4,Disbsmnt.,Development Assistance,usaid,USAID Africa Regional,Africa Region,Economic Development,Trade and Investment," $295,861.10 ",295861.1,295861.1
2010,3,Disbsmnt.,Development Assistance,usaid,India,India,ENVIRONMENT,Clean Productive Environment," $(172,135.68)",-172135.68,-172135.68
2009,3,Obligations,Development Assistance, USAID ,USAID Central Africa Regional,Central Africa Region Program for Environment,ENVIRONMENT,Clean Productive Environment," $14,772.00 ",14772,14772
2010,4,Obgl.,Development Assistance,usaid,Ghana,Ghana,ENVIRONMENT,Natural Resources and Biodiversity," $1,680,000.00 ",1680000,1680000
2010,4,Disbsmnt.,"Assistance for Europe, Eurasia and Central Asia",usaid,Kazakhstan,Kazakhstan,Program Management,Monitoring and Evaluation," $100,000.00 ",100000,100000
2009,1,Disbursements,Global Health & Child Survival,U.S.A.I.D,Haiti,Haiti,Health,Tuberculosis," $4,070.93 ",4070.93,4070.93
2013,1,Obligations,N/A,usaid,Brazil,Brazil,ENVIRONMENT,Clean Productive Environment," $500,000.00 ",500000,500000
2012,4,Obligations,Global Health & Child Survival,usaid,Senegal,Senegal,Program Management,Monitoring and Evaluation," $440,000.00 ",440000,440000
2013,2,Obligations,Global Health & Child Survival,U.S.A.I.D,Tanzania,Tanzania,Health,Family Planning and Reproductive Health," $3,075,000.00 ",3075000,3075000
2010,4,Disbsmnt.,Development Assistance,usaid,Kenya,Kenya,"Democracy, Human Rights, and Governance",Good Governance," $1,072,752.05 ",1072752.05,1072752.05
2012,1,Disbursements,Economic Support Fund,usaid,Somalia,Somalia,Econ. Dev.,Private Sector Competitiveness," $1,139,507.12 ",1139507.12,1139507.12
2013,3,Obligations,Economic Support Fund,usaid,Indonesia,Indonesia,Economic Development,Trade and Investment," $645,310.61 ",645310.61,645310.61
2010,2,Disbsmnt.,Economic Support Fund,usaid,Lebanon,Lebanon,Humanitarian Assistance,"Protection, Assistance and Solutions"," $1,896,493.05 ",1896493.05,1896493.05
2012,3,Obligations,N/A, MCC ,Indonesia,Indonesia,multi-sector,Multi-Sector - Unspecified," $516,053.55 ",516053.55,516053.55
2014,2,Disbursements,N/A,usaid,Honduras,Honduras,ENVIRONMENT,Natural Resources and Biodiversity," $455,276.54 ",455276.54,455276.54
2012,3,Obligations,Economic Support Fund,usaid,Colombia,Colombia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $6,714,000.00 ",6714000,6714000
2013,2,Disbursements,N/A,usaid,Ethiopia,Ethiopia,Education and Social Services,Higher Education," $30,441.01 ",30441.01,30441.01
2010,4,Obgl.,Child Survival and Health Programs Fund,U.S.A.I.D,USAID Global Health,Worldwide,Health,Tuberculosis," $(74,277.03)",-74277.03,-74277.03
2010,4,Obgl.,"Assistance for Europe, Eurasia and Central Asia",usaid,Armenia,Armenia,Economic Development,Trade and Investment," $4,332,922.00 ",4332922,4332922
2011,3,Disbursements,Economic Support Fund,usaid,Cuba,Colombia,DRG,Civil Society, $771.36 ,771.36,771.36
2011,4,Obligations,N/A,usaid,Chad,Chad,Economic Development,Agriculture," $618,370.00 ",618370,618370
2012,3,Disbursements,Global Health & Child Survival,usaid,USAID Regional Development Mission-Asia,East Asia Region,Program Management,Monitoring and Evaluation," $28,546.98 ",28546.98,28546.98
2013,1,Obligations,Child Survival and Health Programs Fund,usaid,Malawi,Malawi,Program Management,Direct Administrative Costs," $(466,299.94)",-466299.94,-466299.94
2013,3,Obligations,N/A,usaid,Macedonia,Macedonia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $448,866.00 ",448866,448866
2009,2,Obligations,Assist. For N.I.S Of Former Soviet Union, USAID ,Joint Eurasia Regional,Eurasia Region,Economic Development,Infrastructure," $52,433.50 ",52433.5,52433.5
2011,4,Obligations,Operating Expenses,usaid,USAID Central Asia Regional,Worldwide,Program Management,Direct Administrative Costs," $6,171,356.48 ",6171356.48,6171356.48
2012,3,Disbursements,Development Assistance,usaid,Peru,Peru,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $748,867.86 ",748867.86,748867.86
2013,1,Disbursements,Global Health & Child Survival,U.S.A.I.D,Afghanistan,Afghanistan,Health,Family Planning and Reproductive Health," $3,056,168.97 ",3056168.97,3056168.97
2009,2,Obligations,Assist. For N.I.S Of Former Soviet Union, USAID ,Turkmenistan,Turkmenistan,Economic Development,Infrastructure," $307,996.15 ",307996.15,307996.15
2009,3,Disbursements,Global Health & Child Survival,U.S.A.I.D,Rwanda,Rwanda,Health,Family Planning and Reproductive Health," $65,262.59 ",65262.59,65262.59
2014,2,Disbursements,Economic Support Fund,usaid,Kenya,Kenya,Economic Development,Private Sector Competitiveness," $(123,432.12)",-123432.12,-123432.12
2012,1,Disbursements,Development Assistance,usaid,Nigeria,Nigeria,Econ. Dev.,Financial Sector," $575,000.00 ",575000,575000
2013,2,Disbursements,N/A,USDA,"Congo, Republic of","Congo, Republic of",,Nutrition," $1,118,701.58 ",1118701.58,1118701.58
2013,1,Obligations,Central America-Carib Emergency Dis Rec,usaid,Nicaragua,Nicaragua,Economic Development,Agriculture," $99,891.41 ",99891.41,99891.41
2010,1,Disbsmnt.,Global Health & Child Survival,usaid,Kenya,Kenya,Program Management,Monitoring and Evaluation," $29,641.11 ",29641.11,29641.11
2011,4,Disbursements,Development Assistance,usaid,Kenya,Kenya,Program Management,Monitoring and Evaluation," $169,914.11 ",169914.11,169914.11
2011,3,Disbursements,Economic Support Fund,usaid,Zambia,Zambia,Economic Development,Agriculture," $214,904.00 ",214904,214904
2011,4,Obligations,Global Health & Child Survival,U.S.A.I.D,Malawi,Malawi,Health,HIV/AIDS," $36,559,285.00 ",36559285,36559285
2009,1,Disbursements,Economic Support Fund, USAID ,China,East Asia Region,Education and Social Services,Social Services," $13,795.52 ",13795.52,13795.52
2013,3,Disbursements,Assist. For N.I.S Of Former Soviet Union,usaid,Turkmenistan,Turkmenistan,Program Management,Direct Administrative Costs," $(41,896.21)",-41896.21,-41896.21
2009,3,Disbursements,Global HIV/AIDS Initiative,U.S.A.I.D,Malawi,Malawi,Health,HIV/AIDS," $407,000.00 ",407000,407000
2010,3,Obgl.,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Philippines,Program Management,Direct Administrative Costs," $103,014.44 ",103014.44,103014.44
2009,4,Disbursements,Development Assistance, USAID ,South Africa,South Africa,Economic Development,Private Sector Competitiveness," $1,634,788.74 ",1634788.74,1634788.74
2006,3,Obligations,N/A, MCC ,MCC - General Office,MCC - General Office,Program Management,Direct Administrative Costs," $14,991,032.19 ",14991032.19,14991032.19
2009,4,Obligations,Assist. For N.I.S Of Former Soviet Union, USAID ,Tajikistan,Tajikistan,Economic Development,Macroeconomic Foundation for Growth," $30,000.00 ",30000,30000
2014,2,Obligations,Economic Support Fund,usaid,Moldova,Moldova,"Democracy, Human Rights, and Governance",Civil Society," $100,000.00 ",100000,100000
2009,4,Obligations,N/A, MCC ,Guyana,Guyana,multi-sector,Multi-Sector - Unspecified," $31,777.44 ",31777.44,31777.44
2011,4,Disbursements,Gifts and Donations,U.S.A.I.D,Zambia,Zambia,Health,Malaria," $53,083.80 ",53083.8,53083.8
2011,1,Disbursements,Assist. For N.I.S Of Former Soviet Union,usaid,Moldova,Moldova,DRG,Rule of Law and Human Rights," $3,379.18 ",3379.18,3379.18
2009,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",U.S.A.I.D,Ukraine,Ukraine,Health,Tuberculosis," $1,429,588.00 ",1429588,1429588
2012,4,Obligations,N/A,Department of Stata,Joint Europe and Eurasia Regional,Joint Europe and Eurasia Regional,,Multi-Sector - Unspecified," $16,068,956.36 ",16068956.36,16068956.36
2009,2,Disbursements,Global Health & Child Survival,U.S.A.I.D,USAID East Africa Regional,East Africa Region,Health,Maternal and Child Health," $40,039.57 ",40039.57,40039.57
2006,1,Disbursements,N/A, MCC ,Honduras,Honduras,multi-sector,Multi-Sector - Unspecified," $146,816.37 ",146816.37,146816.37
2012,4,Disbursements,Assist. For N.I.S Of Former Soviet Union,U.S.A.I.D,Kyrgyz Republic,Kosovo,Health,HIV/AIDS," $(2,829.77)",-2829.77,-2829.77
2009,1,Obligations,Operating Expenses, USAID ,Senegal,Worldwide,Program Management,Direct Administrative Costs," $552,137.66 ",552137.66,552137.66
2011,2,Obligations,Development Assistance,usaid,USAID Southern Africa Regional,South Africa Region,ENVIRONMENT,Clean Productive Environment," $1,941,876.00 ",1941876,1941876
2010,1,Obgl.,Global Health & Child Survival,usaid,USAID Regional Development Mission-Asia,East Asia Region,Program Management,Monitoring and Evaluation," $30,166.00 ",30166,30166
2013,3,Obligations,Global Health & Child Survival,U.S.A.I.D,Tajikistan,Tajikistan,Health,Maternal and Child Health," $675,000.00 ",675000,675000
2013,1,Obligations,Economic Support Fund,usaid,East Asia Region,East Asia Region,Program Management,Monitoring and Evaluation," $14,270.00 ",14270,14270
2010,1,Disbsmnt.,Development Assistance,usaid,USAID Latin America and Caribbean Regional,El Salvador,"Democracy, Human Rights, and Governance",Civil Society," $1,614.74 ",1614.74,1614.74
2012,4,Obligations,N/A,Department of Stata,Belize,Belize,,Multi-Sector - Unspecified," $161,115.25 ",161115.25,161115.25
2012,4,Obligations,Development Assistance,usaid,Ghana,Ghana,"Democracy, Human Rights, and Governance",Good Governance," $5,058,000.00 ",5058000,5058000
2009,3,Disbursements,Economic Support Fund, USAID ,"USAID Democracy, Conflict and Humanitarian Assistance",Afghanistan,"Democracy, Human Rights, and Governance",Good Governance," $150,000.00 ",150000,150000
2009,3,Obligations,Assist. For N.I.S Of Former Soviet Union, USAID ,Kyrgyz Republic,Kosovo,Education and Social Services,Basic Education," $2,155.00 ",2155,2155
2012,1,Disbursements,Development Assistance,usaid,Brazil,Brazil,Econ. Dev.,Infrastructure," $30,184.23 ",30184.23,30184.23
2009,1,Disbursements,IG Operating Expenses, USAID ,USAID Operating Expense,Worldwide,Program Management,Direct Administrative Costs," $24,521.27 ",24521.27,24521.27
2013,2,Disbursements,N/A,usaid,Africa Region,Africa Region,Education and Social Services,Higher Education," $3,602,399.78 ",3602399.78,3602399.78
2009,3,Disbursements,Economic Support Fund, USAID ,Haiti,Haiti,Economic Development,Infrastructure," $5,340,357.96 ",5340357.96,5340357.96
2012,1,Disbursements,Transition Initiatives,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Kosovo,Program Management,Direct Administrative Costs," $169,140.33 ",169140.33,169140.33
2011,,Obligations,N/A,Treasury,Mongolia,I.wonder.if.Laura.will.find.this,Economic Development,Financial Sector," $460,475.26 ",460475.26,460475.26
2009,3,Disbursements,Operating Expenses, USAID ,Mongolia,Worldwide,Program Management,Direct Administrative Costs," $132,278.00 ",132278,132278
2012,2,Disbursements,Development Assistance,usaid,USAID South America Regional,Peru,Program Management,Direct Administrative Costs," $13,912.25 ",13912.25,13912.25
2010,1,Obgl.,Development Assistance,usaid,USAID Middle East Regional,South Asia Region,Program Management,Direct Administrative Costs," $96,108.48 ",96108.48,96108.48
2013,4,Obligations,Economic Support Fund,usaid,Sierra Leone,Sierra Leone,Education and Social Services,Social Assistance," $299,994.00 ",299994,299994
2012,3,Disbursements,Development Assistance,usaid,Vietnam,Vietnam,Econ. Dev.,Agriculture, $(873.17),-873.17,-873.17
2009,1,Disbursements,Global Health & Child Survival,U.S.A.I.D,Ghana,Ghana,Health,Malaria," $471,615.87 ",471615.87,471615.87
2010,2,Disbsmnt.,N/A, MCC ,Benin,Benin,multi-sector,Multi-Sector - Unspecified," $209,515.52 ",209515.52,209515.52
2014,2,Disbursements,Transition Initiatives,usaid,Syrian Arab Republic,Syrian Arab Republic,Program Management,Direct Administrative Costs," $1,001,070.53 ",1001070.53,1001070.53
2011,4,Disbursements,Global Health & Child Survival,usaid,Rwanda,Rwanda,Program Management,Direct Administrative Costs," $838,505.29 ",838505.29,838505.29
2010,1,Disbsmnt.,Global Health & Child Survival,usaid,Paraguay,Paraguay,Program Management,Direct Administrative Costs," $2,070.94 ",2070.94,2070.94
2012,3,Obligations,Development Assistance,usaid,Ethiopia,Ethiopia,Education and Social Services,Social Assistance," $50,000.00 ",50000,50000
2010,1,Disbsmnt.,Economic Support Fund,usaid,Cambodia,Cambodia,"Democracy, Human Rights, and Governance",Good Governance," $791,329.00 ",791329,791329
2009,4,Obligations,Development Assistance, USAID ,USAID Latin America and Caribbean Regional,Bolivia,ENVIRONMENT,Clean Productive Environment," $25,000.00 ",25000,25000
2011,4,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,USAID Global Health,Worldwide,Health,Pandemic Influenza and Other Emerging Threats ," $705,411.25 ",705411.25,705411.25
2013,4,Obligations,Gifts and Donations,U.S.A.I.D,Worldwide,Worldwide,Health,Maternal and Child Health," $809,515.85 ",809515.85,809515.85
2010,3,Obgl.,Development Assistance,U.S.A.I.D,USAID Regional Development Mission-Asia,East Asia Region,Health,Water Supply and Sanitation," $557,776.16 ",557776.16,557776.16
2012,4,Disbursements,Development Assistance,usaid,Djibouti,Djibouti,Education and Social Services,Basic Education," $290,885.83 ",290885.83,290885.83
2011,1,Disbursements,N/A, MCC ,El Salvador,El Salvador,Education and Social Services,Social Services," $6,290,296.90 ",6290296.9,6290296.9
2013,4,Disbursements,Economic Support Fund,usaid,China,China,ENVIRONMENT,Natural Resources and Biodiversity," $27,914.96 ",27914.96,27914.96
2011,4,Disbursements,Development Assistance,usaid,Indonesia,Indonesia,Economic Development,Trade and Investment," $(99,920.01)",-99920.01,-99920.01
2011,1,Disbursements,Economic Support Fund,usaid,Afghanistan,Afghanistan,DRG,Good Governance," $35,712,962.17 ",35712962.17,35712962.17
2012,4,Obligations,Operating Expenses,usaid,South Sudan,Worldwide,Program Management,Direct Administrative Costs," $11,749,841.32 ",11749841.32,11749841.32
2008,2,Obligations,N/A, MCC ,Madagascar,Madagascar,Economic Development,Financial Sector," $1,962,397.00 ",1962397,1962397
2010,2,Disbsmnt.,Global Health & Child Survival,U.S.A.I.D,Uganda,Uganda,Health,HIV/AIDS," $23,633,220.80 ",23633220.8,23633220.8
2010,3,Disbsmnt.,Assist. For N.I.S Of Former Soviet Union,U.S.A.I.D,Turkmenistan,Turkmenistan,Health,Maternal and Child Health, $(6.52),-6.52,-6.52
2011,2,Disbursements,Global Health & Child Survival,U.S.A.I.D,USAID Global Health,Cambodia,Health,HIV/AIDS," $37,212.69 ",37212.69,37212.69
2014,2,Disbursements,N/A,usaid,Cambodia,Cambodia,"Democracy, Human Rights, and Governance",Civil Society," $573,278.29 ",573278.29,573278.29
2013,3,Disbursements,N/A, MCC ,Niger,Niger,multi-sector,Multi-Sector - Unspecified," $243,842.59 ",243842.59,243842.59
2010,2,Disbsmnt.,Economic Support Fund,usaid,Near East Regional,Near East Region,Program Management,Direct Administrative Costs," $42,591.70 ",42591.7,42591.7
2009,4,Disbursements,Assist. For N.I.S Of Former Soviet Union,U.S.A.I.D,Uzbekistan,Uzbekistan,Health,Family Planning and Reproductive Health," $86,131.57 ",86131.57000000001,86131.57000000001
2009,3,Obligations,Special Assistance Initiatives, USAID ,Montenegro,Montenegro,"Democracy, Human Rights, and Governance",Good Governance," $519,050.00 ",519050,519050
2009,3,Disbursements,Special Assistance Initiatives, USAID ,Kosovo,Kosovo,Economic Development,Macroeconomic Foundation for Growth," $91,237.80 ",91237.8,91237.8
2010,4,Obgl.,Development Assistance,usaid,Morocco,Morocco,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $738,000.00 ",738000,738000
2010,2,Disbsmnt.,Economic Support Fund,usaid,Morocco,Morocco,Economic Development,Private Sector Competitiveness," $63,999.54 ",63999.54,63999.54
2014,2,Obligations,Economic Support Fund,usaid,Lebanon,Lebanon,Peace and Security,Conflict Mitigation and Reconciliation," $10,000,000.00 ",10000000,10000000
2010,3,Obgl.,Global Health & Child Survival,U.S.A.I.D,Benin,Benin,Health,Malaria," $291,000.00 ",291000,291000
2013,4,Disbursements,Economic Support Fund,usaid,Honduras,Honduras,Program Management,Direct Administrative Costs," $55,588.45 ",55588.45,55588.45
2010,1,Disbsmnt.,N/A,PEACE CORPS,Malawi,Malawi,,Health - General," $551,225.87 ",551225.87,551225.87
2009,4,Disbursements,Global Health & Child Survival,U.S.A.I.D,Russia,Russia,Health,Tuberculosis," $535,597.26 ",535597.26,535597.26
2013,1,Obligations,N/A,PEACE CORPS,Paraguay,Paraguay,,Multi-Sector - Unspecified," $35,968.97 ",35968.97,35968.97
