FiscalYear,QTR,FiscalYearType,Account,Agency,OperatingUnit,BenefitingCountry,Category,Sector,Amount,Spent,Spent2,notCountry
2009,1,Disbursements,Gifts and Donations,USAID,Bosnia and Herzegovina,Bosnia and Herzegovina,"Democracy, Human Rights, And Governance",Good Governance," $500,397.58 ",500397.58,500397.58,0
2012,4,Obligations,Global Health & Child Survival,USAID,Dominican Republic,Dominican Republic,Health,Maternal and Child Health," $1,853,000.00 ",1853000,1853000,0
2011,4,Obligations,Global Health & Child Survival,USAID,Uzbekistan,Uzbekistan,Program Management,Direct Administrative Costs," $178,364.20 ",178364.2,178364.2,0
2013,1,Disbursements,Unknown,USAID,Tajikistan,Tajikistan,Health,Water Supply and Sanitation," $204,180.19 ",204180.19,204180.19,0
2011,3,Disbursements,Economic Support Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Jamaica,Education And Social Services,Social Services," $11,151.00 ",11151,11151,0
2012,4,Disbursements,Operating Expenses,USAID,Georgia,Worldwide,Program Management,Direct Administrative Costs," $1,084,935.97 ",1084935.97,1084935.97,0
2010,1,Disbursements,"Assistance for Europe, Eurasia and Central Asia",USAID,Azerbaijan,Azerbaijan,Economic Development,Macroeconomic Foundation for Growth," $20,537.09 ",20537.09,20537.09,0
2013,4,Disbursements,Unknown,USDA,Guinea-Bissau,Guinea-Bissau,Missing,Nutrition," $16,602.50 ",16602.5,16602.5,0
2010,1,Disbursements,Development Assistance,USAID,Indonesia,Indonesia,Environment,Clean Productive Environment," $29,070.05 ",29070.05,29070.05,0
2013,4,Disbursements,Unknown,USAID,USAID Middle East Regional,USAID Middle East Regional,Program Management,Direct Administrative Costs," $6,678.15 ",6678.15,6678.15,1
2012,2,Disbursements,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Kosovo,Humanitarian Assistance,"Protection, Assistance and Solutions"," $(2,139.98)",-2139.98,-2139.98,0
2011,2,Disbursements,Development Assistance,USAID,Mauritania,Mauritania,"Democracy, Human Rights, And Governance",Good Governance," $133,838.17 ",133838.17,133838.17,0
2007,4,Obligations,Unknown,MCC,Lesotho,Lesotho,Multi-Sector,Multi-Sector - Unspecified," $2,653.96 ",2653.96,2653.96,0
2012,4,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Joint Eurasia Regional,Eurasia Region,Health,Other Public Health Threats," $(8,641.50)",-8641.5,-8641.5,1
2010,4,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Kazakhstan,Kazakhstan,Health,Other Public Health Threats, $(345.01),-345.01,-345.01,0
2009,4,Disbursements,Development Assistance,USAID,Yemen,Yemen,Peace And Security,Conflict Mitigation and Reconciliation," $281,000.00 ",281000,281000,0
2009,2,Disbursements,Child Survival and Health Programs Fund,USAID,Jamaica,Jamaica,Health,Family Planning and Reproductive Health," $76,431.40 ",76431.39999999999,76431.39999999999,0
2012,3,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Belarus,Belarus,"Democracy, Human Rights, And Governance",Civil Society," $3,578.10 ",3578.1,3578.1,0
2012,1,Disbursements,Development Assistance,USAID,India,India,Health,Water Supply and Sanitation, $(16.28),-16.28,-16.28,0
2010,4,Disbursements,Operating Expenses,USAID,Rwanda,Worldwide,Program Management,Direct Administrative Costs," $943,722.13 ",943722.13,943722.13,0
2010,1,Disbursements,Unknown,Peace Corps,Azerbaijan,Azerbaijan,Missing,Economic Development - General," $461,170.25 ",461170.25,461170.25,0
2012,2,Disbursements,Development Assistance,USAID,Senegal,Senegal,Economic Development,Agriculture," $7,333,519.31 ",7333519.31,7333519.31,0
2009,2,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Guatemala,Humanitarian Assistance,"Protection, Assistance and Solutions"," $(7,639.49)",-7639.49,-7639.49,0
2010,4,Disbursements,Development Assistance,USAID,Ghana,Ghana,Education And Social Services,Social Assistance," $9,474.10 ",9474.1,9474.1,0
2010,2,Disbursements,Child Survival and Health Programs Fund,USAID,China,China,Health,HIV/AIDS," $2,021.29 ",2021.29,2021.29,0
2011,1,Disbursements,Operating Expenses,USAID,Bosnia and Herzegovina,Worldwide,Program Management,Direct Administrative Costs," $792,878.50 ",792878.5,792878.5,0
2010,4,Disbursements,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Costa Rica,Program Management,Direct Administrative Costs," $587,394.71 ",587394.71,587394.71,0
2009,1,Disbursements,Development Assistance,USAID,USAID Office of Development Partners,East Asia Region,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $25,552.14 ",25552.14,25552.14,1
2012,3,Disbursements,Economic Support Fund,USAID,"USAID Economic Growth, Education and Environment",Worldwide,Program Management,Direct Administrative Costs," $69,176.21 ",69176.21000000001,69176.21000000001,0
2012,4,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Ethiopia,Humanitarian Assistance,Disaster Readiness," $7,421,715.00 ",7421715,7421715,0
2010,4,Obligations,Operating Expenses,USAID,Georgia,Worldwide,Program Management,Direct Administrative Costs," $3,580,005.45 ",3580005.45,3580005.45,0
2011,1,Disbursements,Development Assistance,USAID,USAID Caribbean Regional,Caribbean Region,Environment,Natural Resources and Biodiversity," $439,033.18 ",439033.18,439033.18,1
2012,2,Disbursements,"Assistance for Europe, Eurasia and Central Asia",USAID,Joint Eurasia Regional,Eastern European Region,Program Management,Direct Administrative Costs," $217,324.70 ",217324.7,217324.7,1
2010,4,Obligations,Economic Support Fund,USAID,USAID Middle East Regional,South Asia Region,Peace And Security,Counterterrorism," $500,000.00 ",500000,500000,1
2009,1,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,USAID Central Asia Regional,Central Asia Region,Economic Development,Infrastructure," $65,405.79 ",65405.79,65405.79,1
2010,3,Disbursements,Development Assistance,USAID,Sierra Leone,Sierra Leone,Education And Social Services,Social Assistance," $32,704.88 ",32704.88,32704.88,0
2009,3,Disbursements,Development Assistance,USAID,Dominican Republic,Dominican Republic,Economic Development,Trade and Investment," $23,176.42 ",23176.42,23176.42,0
2013,3,Obligations,Economic Support Fund,USAID,Kenya,Kenya,Program Management,Direct Administrative Costs," $14,752.88 ",14752.88,14752.88,0
2012,4,Obligations,Democracy Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Haiti,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $500,000.00 ",500000,500000,0
2009,3,Disbursements,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance","Sudan, Pre-2011 Election",Peace And Security,Conflict Mitigation and Reconciliation," $493,567.99 ",493567.99,493567.99,0
2013,1,Disbursements,Child Survival and Health Programs Fund,USAID,Madagascar,Madagascar,Program Management,Direct Administrative Costs, $(249.98),-249.98,-249.98,0
2012,,Obligations,Unknown,IAF,Worldwide,Worldwide,Missing,Monitoring and Evaluation," $5,475,659.13 ",5475659.13,5475659.13,0
2014,2,Disbursements,Unknown,USAID,Latin America and Caribbean Region,Latin America and Caribbean Region,Environment,Clean Productive Environment," $299,513.35 ",299513.35,299513.35,1
2013,4,Obligations,Unknown,USAID,Mauritania,Mauritania,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $19,251.90 ",19251.9,19251.9,0
2012,2,Disbursements,Development Assistance,USAID,"Congo, Republic of","Congo, Republic of",Education And Social Services,Social Assistance," $3,129.63 ",3129.63,3129.63,0
2013,3,Obligations,Unknown,USAID,Worldwide,Worldwide,Economic Development,Economic Opportunity," $8,186,336.56 ",8186336.56,8186336.56,0
2008,2,Disbursements,Unknown,MCC,Cape Verde,Cape Verde,Economic Development,Infrastructure," $2,098,253.00 ",2098253,2098253,0
2010,2,Disbursements,Development Assistance,USAID,Philippines,Philippines,Economic Development,Macroeconomic Foundation for Growth, $778.96 ,778.96,778.96,0
2012,2,Disbursements,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Humanitarian Assistance,"Protection, Assistance and Solutions"," $10,342,910.66 ",10342910.66,10342910.66,0
2008,1,Obligations,Unknown,MCC,Sao Tome and Principe,Sao Tome and Principe,Program Management,Direct Administrative Costs," $1,299,468.00 ",1299468,1299468,0
2011,4,Obligations,Commodity Credit Corp Title II and III,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Chad,Humanitarian Assistance,"Protection, Assistance and Solutions"," $1,024,184.00 ",1024184,1024184,0
2013,2,Obligations,Unknown,USAID,Ethiopia,Ethiopia,Economic Development,Private Sector Competitiveness," $1,720,040.14 ",1720040.14,1720040.14,0
2013,2,Obligations,International Disaster Assistance,USAID,Nepal,Nepal,Program Management,Direct Administrative Costs," $40,677.37 ",40677.37,40677.37,0
2009,3,Disbursements,Development Assistance,USAID,South Africa,South Africa,Peace And Security,Conflict Mitigation and Reconciliation," $13,237.59 ",13237.59,13237.59,0
2012,2,Disbursements,Global Health & Child Survival,USAID,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Health,HIV/AIDS," $1,530,247.60 ",1530247.6,1530247.6,0
2014,2,Disbursements,Global Health & Child Survival,USAID,Malawi,Malawi,Health,Nutrition," $733,693.24 ",733693.24,733693.24,0
2009,2,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",East Africa Region,Program Management,Direct Administrative Costs," $337,433.39 ",337433.39,337433.39,1
2012,4,Disbursements,Gifts and Donations,USAID,Bosnia and Herzegovina,Bosnia and Herzegovina,"Democracy, Human Rights, And Governance",Good Governance," $657,561.90 ",657561.9,657561.9,0
2010,2,Disbursements,Global Health & Child Survival,USAID,Rwanda,Rwanda,Health,Family Planning and Reproductive Health," $638,906.89 ",638906.89,638906.89,0
2011,1,Disbursements,Unknown,Peace Corps,Kyrgyz Republic,Kyrgyz Republic,Missing,Multi-Sector - Unspecified," $44,006.64 ",44006.64,44006.64,0
2013,4,Disbursements,Unknown,USDA,Nepal,Nepal,Missing,Nutrition," $1,736,035.39 ",1736035.39,1736035.39,0
2011,2,Disbursements,Development Assistance,USAID,Nigeria,Nigeria,"Democracy, Human Rights, And Governance",Civil Society," $474,482.69 ",474482.69,474482.69,0
2014,1,Disbursements,Unknown,Peace Corps,Madagascar,Madagascar,Missing,Health - General," $111,960.37 ",111960.37,111960.37,0
2012,4,Obligations,Development Assistance,USAID,Ethiopia,Ethiopia,"Democracy, Human Rights, And Governance",Good Governance," $229,000.00 ",229000,229000,0
2013,4,Disbursements,Economic Support Fund,USAID,Philippines,Philippines,Economic Development,Economic Opportunity," $(26,277.39)",-26277.39,-26277.39,0
2011,3,Obligations,Operating Expenses,USAID,Guatemala,Worldwide,Program Management,Direct Administrative Costs," $1,510,124.44 ",1510124.44,1510124.44,0
2010,4,Disbursements,Economic Support Fund,USAID,Pakistan,Pakistan,Economic Development,Agriculture," $4,374,521.10 ",4374521.1,4374521.1,0
2011,1,Disbursements,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance","Sudan, Pre-2011 Election",Program Management,Direct Administrative Costs," $322,283.86 ",322283.86,322283.86,0
2013,3,Obligations,Economic Support Fund,USAID,Georgia,Georgia,Education And Social Services,Basic Education," $1,000,000.00 ",1000000,1000000,0
2012,3,Disbursements,Global Health & Child Survival,USAID,Zambia,Zambia,Program Management,Direct Administrative Costs," $111,281.48 ",111281.48,111281.48,0
2013,1,Disbursements,Unknown,MCC,Malawi,Malawi,Program Management,Direct Administrative Costs," $615,239.62 ",615239.62,615239.62,0
2013,3,Disbursements,International Disaster Assistance,USAID,Chad,Chad,Humanitarian Assistance,Disaster Readiness," $14,996.74 ",14996.74,14996.74,0
2012,2,Disbursements,Child Survival and Health Programs Fund,USAID,USAID Africa Regional,Africa Region,Health,Water Supply and Sanitation," $95,191.13 ",95191.13000000001,95191.13000000001,1
2009,3,Disbursements,Economic Support Fund,USAID,Jordan,Jordan,Economic Development,Agriculture," $5,171.25 ",5171.25,5171.25,0
2012,1,Disbursements,Child Survival and Health Programs Fund,USAID,Guinea,Guinea,Health,HIV/AIDS," $7,155.73 ",7155.73,7155.73,0
2009,3,Disbursements,Child Survival and Health Programs Fund,USAID,Mali,Mali,Health,Family Planning and Reproductive Health," $142,352.69 ",142352.69,142352.69,0
2013,2,Disbursements,Unknown,USAID,Nigeria,Nigeria,Economic Development,Agriculture," $4,751,693.79 ",4751693.79,4751693.79,0
2011,3,Disbursements,Development Assistance,USAID,"Congo, Democratic Republic of","Congo, Democratic Republic of",Program Management,Direct Administrative Costs," $30,619.08 ",30619.08,30619.08,0
2009,2,Disbursements,Special Assistance Initiatives,USAID,Kosovo,Kosovo,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $257,937.50 ",257937.5,257937.5,0
2010,2,Obligations,Global Health & Child Survival,USAID,USAID Regional Development Mission-Asia,East Asia Region,Program Management,Direct Administrative Costs," $116,382.50 ",116382.5,116382.5,1
2010,4,Obligations,Economic Support Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",El Salvador,"Democracy, Human Rights, And Governance",Civil Society," $8,443.61 ",8443.610000000001,8443.610000000001,0
2011,2,Obligations,Economic Support Fund,USAID,"Congo, Democratic Republic of","Congo, Democratic Republic of",Peace And Security,Stabilization Operations and Security Sector Reform," $5,200,534.38 ",5200534.38,5200534.38,0
2013,1,Obligations,Unknown,USAID,Jamaica,Jamaica,Education And Social Services,Higher Education," $500,000.00 ",500000,500000,0
2011,3,Obligations,Economic Support Fund,USAID,Pakistan,Pakistan,"Democracy, Human Rights, And Governance",Good Governance," $1,000,000.00 ",1000000,1000000,0
2011,2,Disbursements,"Assistance for Europe, Eurasia and Central Asia",USAID,Kyrgyz Republic,Kosovo,Economic Development,Macroeconomic Foundation for Growth," $120,685.47 ",120685.47,120685.47,0
2012,3,Disbursements,Development Assistance,USAID,Uganda,Uganda,Program Management,Direct Administrative Costs," $837,902.53 ",837902.53,837902.53,0
2010,2,Disbursements,Development Assistance,USAID,Tanzania,Tanzania,Environment,Clean Productive Environment," $118,209.57 ",118209.57,118209.57,0
2011,3,Obligations,Economic Support Fund,USAID,Near East Regional,Near East Region,"Democracy, Human Rights, And Governance",Rule of Law and Human Rights," $2,124,372.00 ",2124372,2124372,1
2009,4,Disbursements,Economic Support Fund,USAID,Ethiopia,Ethiopia,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $526,360.19 ",526360.1899999999,526360.1899999999,0
2012,4,Disbursements,Operating Expenses,USAID,Mali,Worldwide,Program Management,Direct Administrative Costs," $2,093,845.27 ",2093845.27,2093845.27,0
2013,3,Obligations,International Disaster Assistance,USAID,"Korea, North","Korea, North",Program Management,Direct Administrative Costs," $(19,553.68)",-19553.68,-19553.68,0
2010,3,Disbursements,Global Health & Child Survival,USAID,El Salvador,El Salvador,Program Management,Direct Administrative Costs," $150,760.21 ",150760.21,150760.21,0
2012,1,Obligations,Economic Support Fund,USAID,Morocco,Morocco,Program Management,Monitoring and Evaluation," $(14,411.37)",-14411.37,-14411.37,0
2013,4,Disbursements,Unknown,USAID,Paraguay,Paraguay,Program Management,Direct Administrative Costs," $37,916.31 ",37916.31,37916.31,0
2009,2,Obligations,Economic Support Fund,USAID,Zimbabwe,Zimbabwe,"Democracy, Human Rights, And Governance",Rule of Law and Human Rights," $509,692.00 ",509692,509692,0
2012,3,Disbursements,"Assistance for Europe, Eurasia and Central Asia",USAID,Turkmenistan,Turkmenistan,Health,Other Public Health Threats," $31,525.86 ",31525.86,31525.86,0
2011,2,Disbursements,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance","Sudan, Pre-2011 Election",Peace And Security,Conflict Mitigation and Reconciliation," $124,073.49 ",124073.49,124073.49,0
2012,1,Disbursements,Commodity Credit Corp Title II and III,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Burkina Faso,Humanitarian Assistance,"Protection, Assistance and Solutions"," $1,281,062.08 ",1281062.08,1281062.08,0
2011,3,Obligations,Development Credit Authority-Financ Acct,USAID,"USAID Economic Growth, Education and Environment",Jordan,Economic Development,Financial Sector," $593,312.54 ",593312.54,593312.54,0
2013,2,Obligations,Economic Support Fund,USAID,West Bank and Gaza,West Bank and Gaza,Health,Other Public Health Threats," $5,700,000.00 ",5700000,5700000,0
2011,3,Disbursements,Economic Support Fund,USAID,Afghanistan,Afghanistan,Peace And Security,Counter-Narcotics," $45,460,487.39 ",45460487.39,45460487.39,0
2010,3,Disbursements,Development Assistance,USAID,Senegal,Senegal,Education And Social Services,Basic Education," $4,096,792.27 ",4096792.27,4096792.27,0
2012,4,Disbursements,Unknown,MCC,Lesotho,Lesotho,"Democracy, Human Rights, And Governance",Rule of Law and Human Rights," $1,514,689.23 ",1514689.23,1514689.23,0
2009,4,Disbursements,Development Assistance,USAID,USAID Office of Development Partners,Worldwide,Economic Development,Infrastructure," $280,278.64 ",280278.64,280278.64,0
2009,1,Disbursements,Unknown,MCC,El Salvador,El Salvador,Program Management,Direct Administrative Costs," $160,824.57 ",160824.57,160824.57,0
2010,1,Disbursements,Assist. For N.I.S Of Former Soviet Union,USAID,Armenia,Armenia,Economic Development,Private Sector Competitiveness," $182,991.76 ",182991.76,182991.76,0
2011,2,Disbursements,Assist. For N.I.S Of Former Soviet Union,USAID,Moldova,Moldova,Economic Development,Private Sector Competitiveness," $10,342.66 ",10342.66,10342.66,0
2011,1,Obligations,Unknown,USAID,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Humanitarian Assistance,"Protection, Assistance and Solutions"," $26,442,000.00 ",26442000,26442000,0
2011,1,Disbursements,Unknown,MCC,Malawi,Malawi,Economic Development,Private Sector Competitiveness," $15,470.14 ",15470.14,15470.14,0
2012,4,Obligations,Global Health & Child Survival,USAID,Nigeria,Nigeria,Health,Tuberculosis," $13,000,000.00 ",13000000,13000000,0
2012,1,Disbursements,Development Assistance,USAID,Liberia,Liberia,Economic Development,Infrastructure," $1,791.73 ",1791.73,1791.73,0
2010,1,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,USAID Operating Expense,Worldwide,Economic Development,Private Sector Competitiveness, $14.92 ,14.92,14.92,0
2013,3,Disbursements,Unknown,USAID,India,India,Education And Social Services,Higher Education," $162,323.05 ",162323.05,162323.05,0
2011,1,Disbursements,"Assistance for Europe, Eurasia and Central Asia",USAID,Macedonia,Macedonia,Economic Development,Agriculture," $239,099.12 ",239099.12,239099.12,0
2014,2,Obligations,Unknown,USAID,Philippines,Philippines,Program Management,Direct Administrative Costs," $497,938.12 ",497938.12,497938.12,0
2011,4,Obligations,Economic Support Fund,USAID,Venezuela,Venezuela,Program Management,Direct Administrative Costs," $197,579.94 ",197579.94,197579.94,0
2010,3,Obligations,Economic Support Fund,USAID,USAID Operating Expense,Worldwide,Economic Development,Infrastructure, $343.02 ,343.02,343.02,0
2012,4,Disbursements,Unknown,MCC,Philippines,Philippines,Multi-Sector,Multi-Sector - Unspecified," $(11,422,955.17)",-11422955.17,-11422955.17,0
2013,1,Disbursements,Unknown,USAID,Timor-Leste,Timor-Leste,Environment,Natural Resources and Biodiversity," $28,780.66 ",28780.66,28780.66,0
2011,3,Disbursements,Global Health & Child Survival,USAID,USAID Global Health,Central Asia Region,Health,HIV/AIDS," $118,413.19 ",118413.19,118413.19,1
2010,1,Disbursements,Commodity Credit Corp Title II and III,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Mali,Humanitarian Assistance,"Protection, Assistance and Solutions"," $384,120.87 ",384120.87,384120.87,0
2011,3,Disbursements,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Africa Region,Education And Social Services,Social Services," $(500,000.00)",-500000,-500000,1
2010,2,Disbursements,Development Assistance,USAID,Panama,Panama,Environment,Clean Productive Environment," $200,753.98 ",200753.98,200753.98,0
2011,2,Disbursements,Global Health & Child Survival,USAID,USAID Global Health,Worldwide,Health,Maternal and Child Health," $14,622,422.26 ",14622422.26,14622422.26,0
2012,2,Disbursements,Development Assistance,USAID,Philippines,Micronesia,Program Management,Direct Administrative Costs," $35,000.00 ",35000,35000,0
2013,3,Obligations,Unknown,USAID,West Africa Region,West Africa Region,Economic Development,Trade and Investment," $749,643.65 ",749643.65,749643.65,1
2011,1,Disbursements,Development Assistance,USAID,USAID East Africa Regional,East Africa Region,Health,Water Supply and Sanitation," $9,022.76 ",9022.76,9022.76,1
2011,1,Obligations,Unknown,MCC,MCC - General Office,MCC - General Office,Multi-Sector,Multi-Sector - Unspecified," $295,803.07 ",295803.07,295803.07,1
2009,2,Disbursements,Development Assistance,USAID,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Environment,Natural Resources and Biodiversity," $611,755.22 ",611755.22,611755.22,0
2010,3,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Vietnam,Program Management,Direct Administrative Costs, $(452.78),-452.78,-452.78,0
2011,3,Obligations,Global Health & Child Survival,USAID,Nicaragua,Nicaragua,Program Management,Direct Administrative Costs," $534,217.00 ",534217,534217,0
2009,3,Disbursements,Development Assistance,USAID,Nigeria,Nigeria,Education And Social Services,Basic Education," $1,896,737.94 ",1896737.94,1896737.94,0
2014,2,Obligations,International Disaster Assistance,USAID,Caribbean Region,Caribbean Region,Program Management,Direct Administrative Costs," $(45,318.63)",-45318.63,-45318.63,1
2010,4,Obligations,Development Assistance,USAID,China,China,Environment,Clean Productive Environment," $1,828,907.00 ",1828907,1828907,0
2012,3,Obligations,Economic Support Fund,USAID,Yemen,Yemen,Health,Family Planning and Reproductive Health, $(364.00),-364,-364,0
2013,2,Disbursements,International Disaster Assistance,USAID,Malawi,Malawi,Humanitarian Assistance,"Protection, Assistance and Solutions"," $1,929,235.77 ",1929235.77,1929235.77,0
2013,3,Obligations,Unknown,USAID,Vietnam,Vietnam,Environment,Clean Productive Environment," $2,100,000.00 ",2100000,2100000,0
2010,3,Disbursements,Economic Support Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Tajikistan,Peace And Security,Conflict Mitigation and Reconciliation," $84,992.25 ",84992.25,84992.25,0
2013,2,Disbursements,Special Assistance Initiatives,USAID,Romania,Romania,Program Management,Direct Administrative Costs," $(102,521.00)",-102521,-102521,0
2014,2,Disbursements,Unknown,USAID,Mauritania,Mauritania,"Democracy, Human Rights, And Governance",Rule of Law and Human Rights," $1,474.20 ",1474.2,1474.2,0
2010,4,Obligations,Economic Support Fund,USAID,Cambodia,Cambodia,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $466,970.00 ",466970,466970,0
2011,4,Disbursements,Development Assistance,USAID,Madagascar,Madagascar,Program Management,Direct Administrative Costs," $30,510.06 ",30510.06,30510.06,0
2009,4,Disbursements,Child Survival and Health Programs Fund,USAID,Nigeria,Nigeria,Health,Malaria," $94,627.49 ",94627.49000000001,94627.49000000001,0
2013,2,Obligations,Child Survival and Health Programs Fund,USAID,Bangladesh,Bangladesh,Health,Maternal and Child Health, $(275.50),-275.5,-275.5,0
2011,3,Disbursements,Economic Support Fund,USAID,Afghanistan,Afghanistan,Economic Development,Economic Opportunity," $9,307,173.73 ",9307173.73,9307173.73,0
2011,2,Disbursements,Economic Support Fund,USAID,West Bank and Gaza,West Bank and Gaza,"Democracy, Human Rights, And Governance",Civil Society," $5,780,600.96 ",5780600.96,5780600.96,0
2012,1,Disbursements,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Nepal,Health,Other Public Health Threats," $576,532.09 ",576532.09,576532.09,0
2014,2,Disbursements,Global Health & Child Survival,USAID,Tanzania,Tanzania,Health,Tuberculosis," $1,173,191.71 ",1173191.71,1173191.71,0
2009,2,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Eastern European Region,Humanitarian Assistance,Disaster Readiness," $4,224.00 ",4224,4224,1
2012,4,Obligations,Economic Support Fund,USAID,Pakistan,Pakistan,Economic Development,Macroeconomic Foundation for Growth," $5,000,000.00 ",5000000,5000000,0
2013,3,Disbursements,Unknown,USAID,Egypt,Egypt,Health,Water Supply and Sanitation," $210,634.22 ",210634.22,210634.22,0
2013,4,Disbursements,Global Health & Child Survival,USAID,Burkina Faso,Burkina Faso,Health,Malaria," $42,940.48 ",42940.48,42940.48,0
2011,1,Disbursements,Democracy Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,"Democracy, Human Rights, And Governance",Rule of Law and Human Rights," $1,533,132.33 ",1533132.33,1533132.33,0
2010,4,Disbursements,"Assistance for Europe, Eurasia and Central Asia",USAID,Macedonia,Macedonia,"Democracy, Human Rights, And Governance",Political Competition and Consensus-Building," $30,814.38 ",30814.38,30814.38,0
2011,4,Disbursements,Development Assistance,USAID,Senegal,Senegal,"Democracy, Human Rights, And Governance",Good Governance," $1,054,333.66 ",1054333.66,1054333.66,0
2011,1,Disbursements,Development Assistance,USAID,Vietnam,Vietnam,Peace And Security,Transnational Crime," $38,698.67 ",38698.67,38698.67,0
2012,3,Disbursements,Operating Expenses,USAID,Azerbaijan,Worldwide,Program Management,Direct Administrative Costs," $631,764.18 ",631764.1800000001,631764.1800000001,0
2011,3,Obligations,Development Assistance,USAID,Ecuador,Ecuador,Environment,Natural Resources and Biodiversity," $2,583,000.00 ",2583000,2583000,0
2012,2,Disbursements,Development Assistance,USAID,Senegal,Senegal,Economic Development,Private Sector Competitiveness," $120,038.26 ",120038.26,120038.26,0
2014,2,Disbursements,Unknown,USAID,Ukraine,Ukraine,Program Management,Monitoring and Evaluation," $184,228.56 ",184228.56,184228.56,0
2012,2,Obligations,Development Assistance,USAID,Mexico,Mexico,Environment,Clean Productive Environment, $(575.00),-575,-575,0
2010,3,Obligations,Economic Support Fund,USAID,Egypt,Egypt,Economic Development,Financial Sector," $83,600,000.00 ",83600000,83600000,0
2009,1,Disbursements,Assist. For N.I.S Of Former Soviet Union,USAID,Kyrgyz Republic,Kosovo,"Democracy, Human Rights, And Governance",Rule of Law and Human Rights," $205,305.76 ",205305.76,205305.76,0
2013,1,Disbursements,Unknown,USAID,South Africa,South Africa,Economic Development,Trade and Investment," $1,778,066.88 ",1778066.88,1778066.88,0
2011,2,Disbursements,Special Assistance Initiatives,USAID,USAID Operating Expense,Worldwide,Economic Development,Macroeconomic Foundation for Growth, $11.73 ,11.73,11.73,0
2014,,Obligations,Unknown,DOD,Mauritania,Mauritania,Peace And Security,Counterterrorism," $30,700,000.00 ",30700000,30700000,0
2011,1,Disbursements,Special Assistance Initiatives,USAID,Albania,Albania,"Democracy, Human Rights, And Governance",Rule of Law and Human Rights," $7,044.30 ",7044.3,7044.3,0
2012,1,Obligations,Global Health & Child Survival,USAID,Papua New Guinea,Philippines,Program Management,Direct Administrative Costs," $7,359.05 ",7359.05,7359.05,0
2009,2,Obligations,Global Health & Child Survival,USAID,Kazakhstan,Kazakhstan,Health,Tuberculosis," $7,730.34 ",7730.34,7730.34,0
2012,3,Disbursements,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Health,Pandemic Influenza and Other Emerging Threats , $(273.79),-273.79,-273.79,0
2011,3,Disbursements,Unknown,MCC,Lesotho,Lesotho,"Democracy, Human Rights, And Governance",Civil Society," $49,226.00 ",49226,49226,0
2009,4,Disbursements,Economic Support Fund,USAID,Mexico,Mexico,"Democracy, Human Rights, And Governance",Rule of Law and Human Rights," $2,149,048.38 ",2149048.38,2149048.38,0
2011,4,Obligations,Global Health & Child Survival,USAID,USAID Global Health,Swaziland,Health,HIV/AIDS," $5,650,000.00 ",5650000,5650000,0
2010,4,Disbursements,Development Assistance,USAID,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Economic Development,Infrastructure," $8,590,969.06 ",8590969.060000001,8590969.060000001,0
