FiscalYear,QTR,FiscalYearType,Account,Agency,OperatingUnit,BenefitingCountry,Category,Sector,Amount,Spent,Spent2
2012,4,Disbursements,Global Health & Child Survival,U.S.A.I.D,Yemen,Yemen,Health,Maternal and Child Health," $382,021.25 ",382021.25,382021.25
2013,2,Disbursements,N/A,U.S.A.I.D,Lesotho,Lesotho,Health,Water Supply and Sanitation," $12,700,117.57 ",12700117.57,12700117.57
2013,3,Disbursements,International Disaster Assistance,usaid,Central Asia Region,Central Asia Region,Humanitarian Assistance,Disaster Readiness," $95,630.65 ",95630.64999999999,95630.64999999999
2012,1,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,Tanzania,Tanzania,Health,Malaria," $9,061.99 ",9061.99,9061.99
2009,3,Disbursements,Economic Support Fund, USAID,Jamaica,Jamaica,Peace and Security,Transnational Crime," $45,542.05 ",45542.05,45542.05
2012,2,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,Guatemala,Guatemala,Health,Family Planning and Reproductive Health," $(1,657.74)",-1657.74,-1657.74
2009,2,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,Malawi,Malawi,Health,Tuberculosis," $1,381,000.00 ",1381000,1381000
2013,3,Disbursements,N/A,usaid,Niger,Niger,"Democracy, Human Rights, and Governance",Good Governance," $434,234.00 ",434234,434234
2011,4,Disbursements,Development Assistance,usaid,"Congo, Democratic Republic of","Congo, Democratic Republic of",Education and Social Services,Basic Education," $2,651,370.71 ",2651370.71,2651370.71
2009,3,Disbursements,Special Assistance Initiatives,U.S.A.I.D,Kosovo,Kosovo,Health,Maternal and Child Health," $373,000.00 ",373000,373000
2010,4,Obgl.,Global Health & Child Survival,usaid,USAID Operating Expense,Worldwide,Program Management,Monitoring and Evaluation, $1.84 ,1.84,1.84
2010,3,Obgl.,Economic Support Fund,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Costa Rica,"Democracy, Human Rights, and Governance",Civil Society," $7,255.00 ",7255,7255
2011,2,Obligations,Economic Support Fund,usaid,"Congo, Democratic Republic of","Congo, Democratic Republic of",Economic Development,Infrastructure," $2,500,000.00 ",2500000,2500000
2013,1,Obligations,N/A,usaid,Jamaica,Jamaica,Program Management,Direct Administrative Costs," $317,817.72 ",317817.72,317817.72
2011,2,Obligations,Economic Support Fund,U.S.A.I.D,Pakistan,Pakistan,Health,Family Planning and Reproductive Health," $2,000,000.00 ",2000000,2000000
2011,2,Disbursements,"Assistance for Europe, Eurasia and Central Asia",U.S.A.I.D,Kyrgyz Republic,Kosovo,Health,Family Planning and Reproductive Health," $141,000.00 ",141000,141000
2012,3,Disbursements,Development Assistance,usaid,Uganda,Uganda,Education and Social Services,Basic Education," $1,005,589.11 ",1005589.11,1005589.11
2010,3,Disbsmnt.,Development Assistance,usaid,Tanzania,Tanzania,"Democracy, Human Rights, and Governance",Civil Society," $18,934.31 ",18934.31,18934.31
2011,4,Obligations,Economic Support Fund,usaid,Mexico,Mexico,ENVIRONMENT,Clean Productive Environment," $157,584.00 ",157584,157584
2009,4,Disbursements,Economic Support Fund,U.S.A.I.D,Egypt,Egypt,Health,Water Supply and Sanitation," $2,705,820.49 ",2705820.49,2705820.49
2012,1,Disbursements,Operating Expenses,usaid,Mali,Worldwide,Program Management,Direct Administrative Costs," $2,278,080.74 ",2278080.74,2278080.74
2013,4,Obligations,International Disaster Assistance,usaid,Kenya,Kenya,Program Management,Monitoring and Evaluation," $1,800.00 ",1800,1800
2010,1,Disbsmnt.,Global Health & Child Survival,U.S.A.I.D,Dominican Republic,Dominican Republic,Health,Tuberculosis, $446.44 ,446.44,446.44
2012,1,Obligations,Economic Support Fund,usaid,Morocco,Morocco,Econ. Dev.,Financial Sector, $(392.03),-392.03,-392.03
2013,1,Disbursements,N/A,usaid,Paraguay,Paraguay,Program Management,Direct Administrative Costs," $96,579.49 ",96579.49000000001,96579.49000000001
2009,4,Obligations,Economic Support Fund,U.S.A.I.D,Yemen,Yemen,Health,Maternal and Child Health," $2,980,000.00 ",2980000,2980000
2012,3,Disbursements,"Assistance for Europe, Eurasia and Central Asia",usaid,Turkmenistan,Turkmenistan,Econ. Dev.,Macroeconomic Foundation for Growth," $267,472.86 ",267472.86,267472.86
2011,4,Disbursements,Development Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Sri Lanka,Education and Social Services,Social Services," $31,658.97 ",31658.97,31658.97
2012,1,Disbursements,Commodity Credit Corp Title II and III,usaid,"USAID Economic Growth, Education and Environment",West Africa Region,Econ. Dev.,Agriculture," $235,087.34 ",235087.34,235087.34
2011,4,Obligations,Development Credit Authority-Financ Acct,usaid,"USAID Economic Growth, Education and Environment",Jamaica,Economic Development,Financial Sector," $(1,425.23)",-1425.23,-1425.23
2013,1,Obligations,N/A,usaid,Morocco,Morocco,Peace and Security,Conflict Mitigation and Reconciliation," $823,326.00 ",823326,823326
2011,2,Disbursements,Economic Support Fund,usaid,Afghanistan,Afghanistan,Peace and Security,Conflict Mitigation and Reconciliation," $46,039,789.88 ",46039789.88,46039789.88
2010,3,Disbsmnt.,Development Assistance,usaid,Senegal,Senegal,Economic Development,Agriculture," $4,739,962.84 ",4739962.84,4739962.84
2012,1,Disbursements,N/A,MCC,Lesotho,Lesotho,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $452,040.91 ",452040.91,452040.91
2009,2,Disbursements,Development Assistance, USAID,USAID Office of Development Partners,Worldwide,ENVIRONMENT,Clean Productive Environment," $207,200.25 ",207200.25,207200.25
2009,2,Disbursements,N/A,MCC,El Salvador,El Salvador,Education and Social Services,Basic Education," $807,018.56 ",807018.5600000001,807018.5600000001
2010,4,Disbsmnt.,Assist. For N.I.S Of Former Soviet Union,usaid,Armenia,Armenia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $204,898.54 ",204898.54,204898.54
2011,2,Disbursements,Assist. For N.I.S Of Former Soviet Union,U.S.A.I.D,Moldova,Moldova,Health,Other Public Health Threats," $(9,997.18)",-9997.18,-9997.18
2011,2,Obligations,N/A,U.S.A.I.D,Niger,Niger,Health,HIV/AIDS," $867,330.00 ",867330,867330
2011,3,Disbursements,N/A,MCC,Malawi,Malawi,multi-sector,Multi-Sector - Unspecified," $63,359.85 ",63359.85,63359.85
2012,1,Obligations,Global Health & Child Survival,U.S.A.I.D,Nigeria,Nigeria,Health,Tuberculosis," $600,000.00 ",600000,600000
2012,1,Disbursements,N/A,PEACE CORPS,China,China,,Education and Social Services - General," $2,120,402.54 ",2120402.54,2120402.54
2010,4,Obgl.,Assist. For N.I.S Of Former Soviet Union,U.S.A.I.D,USAID Central Asia Regional,Central Asia Region,Health,Tuberculosis," $50,000.00 ",50000,50000
2013,3,Disbursements,N/A,usaid,India,India,Program Management,Direct Administrative Costs," $1,079,219.65 ",1079219.65,1079219.65
2011,4,Disbursements,"Assistance for Europe, Eurasia and Central Asia",usaid,Kyrgyz Republic,Kosovo,DRG,Rule of Law and Human Rights," $103,000.00 ",103000,103000
2014,2,Obligations,N/A,usaid,Philippines,Philippines,Education and Social Services,Basic Education," $234,201.00 ",234201,234201
2011,3,Obligations,Economic Support Fund,usaid,USAID Regional Development Mission-Asia,East Asia Region,Education and Social Services,Higher Education," $533,500.00 ",533500,533500
2010,1,Obgl.,Economic Support Fund,usaid,USAID Operating Expense,Worldwide,Economic Development,Economic Opportunity," $5,653.49 ",5653.49,5653.49
2012,40,Disbursements,N/A,MCC,Nicaragua,Nicaragua,multi-sector,Multi-Sector - Unspecified," $(2,626,919.96)",-2626919.96,-2626919.96
2013,1,Disbursements,N/A,usaid,Timor-Leste,Timor-Leste,Program Management,Monitoring and Evaluation," $4,710.30 ",4710.3,4710.3
2011,3,Disbursements,Global Health & Child Survival,U.S.A.I.D,USAID Global Health,Cambodia,Health,Pandemic Influenza and Other Emerging Threats ," $31,845.96 ",31845.96,31845.96
2010,4,Disbsmnt.,Commodity Credit Corp Title II and III,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Madagascar,Humanitarian Assistance,"Protection, Assistance and Solutions"," $1,107,720.54 ",1107720.54,1107720.54
2011,2,Disbursements,Development Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Afghanistan,Education and Social Services,Social Services," $2,921.04 ",2921.04,2921.04
2010,3,Disbsmnt.,Development Assistance,U.S.A.I.D,Pakistan,Pakistan,Health,Water Supply and Sanitation," $416,806.88 ",416806.88,416806.88
2011,4,Disbursements,Global Health & Child Survival,U.S.A.I.D,USAID Global Health,Worldwide,Health,Malaria," $17,910,402.06 ",17910402.06,17910402.06
2012,3,Disbursements,Development Assistance,usaid,Peru,Peru,Program Management,Monitoring and Evaluation," $29,282.70 ",29282.7,29282.7
2013,2,Obligations,N/A,usaid,West Africa Region,West Africa Region,Economic Development,Financial Sector," $120,423.00 ",120423,120423
2011,4,Disbursements,Development Assistance,usaid,USAID East Africa Regional,East Africa Region,ENVIRONMENT,Natural Resources and Biodiversity," $71,878.04 ",71878.03999999999,71878.03999999999
2011,1,Obligations,N/A,MCC,Mali,Mali,Program Management,Direct Administrative Costs, $0.46 ,.46,.46
2009,2,Disbursements,Development Assistance, USAID,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election","Democracy, Human Rights, and Governance",Civil Society," $2,793,053.56 ",2793053.56,2793053.56
2010,3,Obgl.,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Uzbekistan,Humanitarian Assistance,"Protection, Assistance and Solutions"," $50,000.00 ",50000,50000
2011,1,Obligations,Global Health & Child Survival,U.S.A.I.D,Namibia,Worldwide,Health,HIV/AIDS," $15,957.95 ",15957.95,15957.95
2009,3,Disbursements,Development Assistance, USAID,Niger,Niger,"Democracy, Human Rights, and Governance",Civil Society," $27,893.81 ",27893.81,27893.81
2014,2,Obligations,International Disaster Assistance,usaid,Burma,Burma,Humanitarian Assistance,Disaster Readiness," $1,236,786.00 ",1236786,1236786
2010,4,Obgl.,Development Assistance,usaid,Cambodia,Cambodia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $27,525.00 ",27525,27525
2012,4,Obligations,Economic Support Fund,usaid,Yemen,Yemen,"Democracy, Human Rights, and Governance",Civil Society," $1,506,408.00 ",1506408,1506408
2013,4,Disbursements,International Disaster Assistance,usaid,Liberia,Liberia,Humanitarian Assistance,"Protection, Assistance and Solutions"," $194,770.90 ",194770.9,194770.9
2013,4,Obligations,N/A,usaid,Uzbekistan,Uzbekistan,Economic Development,Private Sector Competitiveness," $12,098.00 ",12098,12098
2010,2,Disbsmnt.,Economic Support Fund,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Senegal,Peace and Security,Conflict Mitigation and Reconciliation," $19,996.64 ",19996.64,19996.64
2013,2,Disbursements,Special Assistance Initiatives,usaid,Romania,Romania,Economic Development,Agriculture," $102,521.00 ",102521,102521
2014,2,Disbursements,N/A,usaid,Macedonia,Macedonia,Economic Development,Infrastructure," $377,073.87 ",377073.87,377073.87
2010,1,Obgl.,Economic Support Fund,usaid,Cambodia,Cambodia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $(30,805.74)",-30805.74,-30805.74
2011,2,Disbursements,Development Assistance,usaid,Madagascar,Madagascar,ENVIRONMENT,Clean Productive Environment, $333.92 ,333.92,333.92
2009,1,Disbursements,Child Survival and Health Programs Fund,U.S.A.I.D,Nigeria,Nigeria,Health,Malaria," $2,809,951.12 ",2809951.12,2809951.12
2013,2,Obligations,Child Survival and Health Programs Fund,U.S.A.I.D,Angola,Angola,Health,Malaria," $(2,533.54)",-2533.54,-2533.54
2011,3,Disbursements,Economic Support Fund,usaid,Afghanistan,Afghanistan,Program Management,Direct Administrative Costs," $4,654,226.38 ",4654226.38,4654226.38
2011,3,Disbursements,Economic Support Fund,usaid,Vietnam,Vietnam,DRG,Rule of Law and Human Rights, $5.47 ,5.47,5.47
2012,3,Disbursements,Development Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Lebanon,Education and Social Services,Social Services," $185,172.50 ",185172.5,185172.5
2014,2,Disbursements,Global Health & Child Survival,U.S.A.I.D,South Sudan,South Sudan,Health,Malaria," $2,876,115.65 ",2876115.65,2876115.65
2009,3,Obligations,International Disaster Assistance, USAID,"USAID Democracy, Conflict and Humanitarian Assistance",East Asia Region,Program Management,Direct Administrative Costs," $609,902.03 ",609902.03,609902.03
2012,4,Obligations,Economic Support Fund,usaid,Nicaragua,Nicaragua,Program Management,Monitoring and Evaluation," $10,000.00 ",10000,10000
2013,3,Disbursements,N/A,usaid,Ecuador,Ecuador,"Democracy, Human Rights, and Governance",Good Governance," $582,070.10 ",582070.1,582070.1
2013,1,Disbursements,Global Health & Child Survival,U.S.A.I.D,Burkina Faso,Burkina Faso,Health,Malaria," $1,265,511.68 ",1265511.68,1265511.68
2011,1,Disbursements,Democracy Fund,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,DRG,Civil Society," $2,464,889.25 ",2464889.25,2464889.25
2010,2,Disbsmnt.,"Assistance for Europe, Eurasia and Central Asia",usaid,Macedonia,Macedonia,Program Management,Monitoring and Evaluation," $34,802.25 ",34802.25,34802.25
2011,3,Disbursements,Development Assistance,usaid,Senegal,Senegal,ENVIRONMENT,Clean Productive Environment," $3,330.65 ",3330.65,3330.65
2011,4,Disbursements,Development Assistance,usaid,Vietnam,Vietnam,Economic Development,Trade and Investment," $30,279.97 ",30279.97,30279.97
2012,3,Disbursements,Operating Expenses,usaid,Angola,Worldwide,Program Management,Direct Administrative Costs," $1,652,910.37 ",1652910.37,1652910.37
2011,4,Obligations,Development Assistance,usaid,Ecuador,Ecuador,Program Management,Monitoring and Evaluation," $69,275.00 ",69275,69275
2012,3,Disbursements,Development Assistance,usaid,Senegal,Senegal,ENVIRONMENT,Natural Resources and Biodiversity," $194,366.52 ",194366.52,194366.52
2014,2,Disbursements,N/A,usaid,Ukraine,Ukraine,Economic Development,Infrastructure," $947,647.50 ",947647.5,947647.5
2012,3,Obligations,Development Assistance,usaid,Mauritius,Mauritius,Education and Social Services,Social Assistance, $(60.84),-60.84,-60.84
2010,3,Obgl.,Economic Support Fund,usaid,Egypt,Egypt,Program Management,Direct Administrative Costs," $(100,494.00)",-100494,-100494
2009,2,Disbursements,Assist. For N.I.S Of Former Soviet Union, USAID,Kyrgyz Republic,Kosovo,Program Management,Monitoring and Evaluation," $59,790.75 ",59790.75,59790.75
2013,2,Disbursements,N/A,usaid,South Africa,South Africa,Economic Development,Private Sector Competitiveness," $374,430.52 ",374430.52,374430.52
2011,4,Disbursements,Special Assistance Initiatives,usaid,USAID Operating Expense,Worldwide,Peace and Security,Conflict Mitigation and Reconciliation, $435.28 ,435.28,435.28
2011,0,Obligations,N/A,U.S.A.I.D,Lesotho,Lesotho,Health,HIV/AIDS," $650,000.00 ",650000,650000
2011,4,Disbursements,Operating Expenses,usaid,Zimbabwe,Worldwide,Program Management,Direct Administrative Costs," $1,307,299.71 ",1307299.71,1307299.71
2012,3,Obligations,Global Health & Child Survival,U.S.A.I.D,Papua New Guinea,Papua New Guinea,Health,HIV/AIDS," $1,141,056.00 ",1141056,1141056
2009,4,Obligations,Global Health & Child Survival,U.S.A.I.D,Kazakhstan,Kazakhstan,Health,HIV/AIDS," $261,000.00 ",261000,261000
2012,2,Disbursements,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Humanitarian Assistance,Disaster Readiness," $3,213,318.19 ",3213318.19,3213318.19
2011,40,Disbursements,N/A,MCC,Indonesia,Indonesia,Program Management,Direct Administrative Costs," $418,654.93 ",418654.93,418654.93
2009,1,Disbursements,Economic Support Fund, USAID,Mexico,Mexico,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $1,467,677.67 ",1467677.67,1467677.67
2011,2,Obligations,Global Health & Child Survival,U.S.A.I.D,USAID Global Health,South Africa Region,Health,HIV/AIDS," $15,678,215.88 ",15678215.88,15678215.88
2010,1,Disbsmnt.,Development Assistance,usaid,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Economic Development,Infrastructure," $8,610,448.23 ",8610448.23,8610448.23
2009,2,Obligations,N/A,MCC,Jordan,Jordan,multi-sector,Multi-Sector - Unspecified," $419,631.73 ",419631.73,419631.73
2014,2,Obligations,N/A,usaid,Cambodia,Cambodia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $15,000.00 ",15000,15000
2012,4,Obligations,Development Assistance,U.S.A.I.D,"USAID Democracy, Conflict and Humanitarian Assistance",Israel,Health,Other Public Health Threats," $3,000,000.00 ",3000000,3000000
2012,2,Disbursements,Assist. For N.I.S Of Former Soviet Union,usaid,Azerbaijan,Azerbaijan,Program Management,Direct Administrative Costs, $584.01 ,584.01,584.01
2014,2,Obligations,International Disaster Assistance,usaid,Mozambique,Mozambique,Humanitarian Assistance,"Protection, Assistance and Solutions"," $(5,922.71)",-5922.71,-5922.71
2010,4,Obgl.,Transition Initiatives,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Kenya,Program Management,Direct Administrative Costs," $526,325.80 ",526325.8000000001,526325.8000000001
2009,4,Disbursements,Development Assistance, USAID,Haiti,Haiti,"Democracy, Human Rights, and Governance",Civil Society," $5,872.41 ",5872.41,5872.41
2009,4,Disbursements,Global Health & Child Survival,U.S.A.I.D,USAID Global Health,Caribbean Region,Health,HIV/AIDS, $675.00 ,675,675
2009,1,Disbursements,International Disaster Assistance, USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Liberia,Humanitarian Assistance,"Protection, Assistance and Solutions"," $465,937.11 ",465937.11,465937.11
2014,1,Obligations,N/A,PEACE CORPS,Panama,Panama,,Environment - General," $451,934.28 ",451934.28,451934.28
2012,3,Obligations,Development Assistance,usaid,Uganda,Uganda,Econ. Dev.,Agriculture," $20,150,000.00 ",20150000,20150000
2013,2,Obligations,Economic Support Fund,usaid,Iraq,Iraq,Economic Development,Trade and Investment," $2,000,000.00 ",2000000,2000000
2007,1,Disbursements,N/A,MCC,Senegal,Senegal,Economic Development,Private Sector Competitiveness," $922,515.60 ",922515.6,922515.6
2011,4,Obligations,Economic Support Fund,usaid,Near East Regional,Near East Region,Program Management,Direct Administrative Costs," $545,954.05 ",545954.0500000001,545954.0500000001
2012,4,Disbursements,Economic Support Fund,usaid,Bangladesh,Bangladesh,Humanitarian Assistance,"Protection, Assistance and Solutions"," $1,660,343.45 ",1660343.45,1660343.45
2013,1,Disbursements,N/A,usaid,Namibia,Namibia,ENVIRONMENT,Natural Resources and Biodiversity," $874,601.33 ",874601.33,874601.33
2012,4,Obligations,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Paraguay,Humanitarian Assistance,"Protection, Assistance and Solutions"," $699,622.00 ",699622,699622
2010,3,Obgl.,Economic Support Fund,usaid,Colombia,Colombia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $(1,370,000.00)",-1370000,-1370000
2009,4,Obligations,Development Assistance, USAID,Haiti,Haiti,Economic Development,Trade and Investment," $1,000,000.00 ",1000000,1000000
2010,2,Obgl.,Development Assistance,usaid,India,India,Economic Development,Private Sector Competitiveness," $(9,556.44)",-9556.440000000001,-9556.440000000001
2010,3,Disbsmnt.,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Moldova,Humanitarian Assistance,"Protection, Assistance and Solutions"," $44,246.13 ",44246.13,44246.13
2011,2,Disbursements,Andean Counterdrug Initiative,usaid,Colombia,Colombia,Education and Social Services,Social Services," $88,077.52 ",88077.52,88077.52
2013,3,Obligations,N/A,usaid,Vietnam,Vietnam,Education and Social Services,Social Assistance," $1,025,878.00 ",1025878,1025878
2013,3,Disbursements,N/A,usaid,Tajikistan,Tajikistan,Economic Development,Agriculture," $1,841,355.57 ",1841355.57,1841355.57
2012,3,Disbursements,Development Assistance,usaid,Philippines,Philippines,Program Management,Direct Administrative Costs," $366,746.80 ",366746.8,366746.8
2013,1,Obligations,Child Survival and Health Programs Fund,usaid,Kenya,Kenya,Program Management,Direct Administrative Costs," $(11,608.01)",-11608.01,-11608.01
2010,3,Disbsmnt.,Development Assistance,usaid,USAID Africa Regional,Africa Region,ENVIRONMENT,Natural Resources and Biodiversity," $443,458.71 ",443458.71,443458.71
2010,2,Disbsmnt.,Development Assistance,usaid,Honduras,Honduras,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $10,015.18 ",10015.18,10015.18
2009,4,Obligations,Development Assistance, USAID,USAID Caribbean Regional,Caribbean Region,Economic Development,Economic Opportunity," $1,448,795.00 ",1448795,1448795
2010,4,Obgl.,Development Assistance,usaid,Ethiopia,Ethiopia,Economic Development,Private Sector Competitiveness," $11,852,782.00 ",11852782,11852782
2010,4,Disbsmnt.,"Assistance for Europe, Eurasia and Central Asia",usaid,Kazakhstan,Kazakhstan,Economic Development,Infrastructure," $10,026.00 ",10026,10026
2009,4,Disbursements,Global Health & Child Survival,U.S.A.I.D,Haiti,Haiti,Health,HIV/AIDS," $4,956,103.97 ",4956103.97,4956103.97
2013,3,Obligations,N/A,usaid,Bosnia and Herzegovina,Bosnia and Herzegovina,Economic Development,Trade and Investment," $267,288.00 ",267288,267288
2012,4,Obligations,Global Health & Child Survival,U.S.A.I.D,Senegal,Senegal,Health,HIV/AIDS," $3,744,000.00 ",3744000,3744000
2013,2,Obligations,Global Health & Child Survival,usaid,Tanzania,Tanzania,Program Management,Direct Administrative Costs," $314,484.53 ",314484.53,314484.53
2010,1,Disbsmnt.,Development Assistance,usaid,Kenya,Kenya,"Democracy, Human Rights, and Governance",Good Governance," $55,723.97 ",55723.97,55723.97
2012,2,Disbursements,Economic Support Fund,usaid,Somalia,Somalia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $683,395.43 ",683395.4300000001,683395.4300000001
2013,4,Obligations,Economic Support Fund,usaid,Indonesia,Indonesia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights," $190,656.00 ",190656,190656
2010,3,Disbsmnt.,Economic Support Fund,usaid,Lebanon,Lebanon,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building," $1,042,741.00 ",1042741,1042741
2012,2,Obligations,N/A,MCC,Indonesia,Indonesia,Program Management,Direct Administrative Costs," $184,070.06 ",184070.06,184070.06
2014,2,Disbursements,N/A,usaid,Honduras,Honduras,"Democracy, Human Rights, and Governance",Good Governance," $1,575,944.43 ",1575944.43,1575944.43
2012,4,Obligations,Economic Support Fund,usaid,Colombia,Colombia,Program Management,Monitoring and Evaluation," $4,475,000.00 ",4475000,4475000
2013,2,Disbursements,N/A,usaid,Ethiopia,Ethiopia,Program Management,Direct Administrative Costs," $792,297.50 ",792297.5,792297.5
2010,4,Obgl.,Child Survival and Health Programs Fund,U.S.A.I.D,USAID Global Health,Worldwide,Health,HIV/AIDS," $(471,071.00)",-471071,-471071
2010,3,Obgl.,"Assistance for Europe, Eurasia and Central Asia",usaid,Armenia,Armenia,Education and Social Services,"Social Policies, Regulations, and Systems"," $22,000.00 ",22000,22000
2011,2,Disbursements,Economic Support Fund,usaid,"Congo, Democratic Republic of","Congo, Democratic Republic of",Peace and Security,Stabilization Operations and Security Sector Reform," $(48,590.62)",-48590.62,-48590.62
2011,4,Obligations,N/A,usaid,Burkina Faso,Burkina Faso,Economic Development,Agriculture," $1,974,940.00 ",1974940,1974940
2012,3,Disbursements,Global Health & Child Survival,U.S.A.I.D,USAID Regional Development Mission-Asia,East Asia Region,Health,Malaria," $524,607.39 ",524607.39,524607.39
2013,4,Obligations,Child Survival and Health Programs Fund,U.S.A.I.D,Madagascar,Madagascar,Health,Maternal and Child Health," $(11,724.73)",-11724.73,-11724.73
2013,3,Obligations,N/A,usaid,Macedonia,Macedonia,Economic Development,Private Sector Competitiveness," $771,023.00 ",771023,771023
2009,3,Obligations,Assist. For N.I.S Of Former Soviet Union, USAID,Joint Eurasia Regional,Eurasia Region,Economic Development,Financial Sector, $9.00 ,9,9
2011,4,Obligations,Operating Expenses,usaid,USAID Administrative Costs,Worldwide,Program Management,Direct Administrative Costs," $66,051,959.61 ",66051959.61,66051959.61
2012,3,Disbursements,Development Assistance,usaid,Peru,Peru,"Democracy, Human Rights, and Governance",Good Governance," $325,898.66 ",325898.66,325898.66
2013,3,Disbursements,Gifts and Donations,U.S.A.I.D,Zambia,Zambia,Health,Malaria," $608,002.59 ",608002.59,608002.59
2009,4,Obligations,Assist. For N.I.S Of Former Soviet Union, USAID,Turkmenistan,Turkmenistan,Education and Social Services,Higher Education," $284,000.00 ",284000,284000
2009,2,Disbursements,Global Health & Child Survival,U.S.A.I.D,Russia,Russia,Health,Family Planning and Reproductive Health," $75,000.00 ",75000,75000
2014,2,Disbursements,Economic Support Fund,usaid,Kenya,Kenya,Peace and Security,Counterterrorism," $291,094.22 ",291094.22,291094.22
2012,2,Disbursements,Development Assistance,usaid,Nigeria,Nigeria,Econ. Dev.,Economic Opportunity, $756.57 ,756.5700000000001,756.5700000000001
2013,1,Disbursements,N/A,USDA,Cameroon,Cameroon,,Nutrition," $2,912,275.32 ",2912275.32,2912275.32
2013,2,Obligations,Capital Investment Fund,usaid,Worldwide,Worldwide,Program Management,Direct Administrative Costs," $22,559,280.12 ",22559280.12,22559280.12
2010,2,Disbsmnt.,Global Health & Child Survival,U.S.A.I.D,Kenya,Kenya,Health,HIV/AIDS," $27,000,583.90 ",27000583.9,27000583.9
2011,1,Disbursements,Development Assistance,usaid,Kenya,Kenya,Program Management,Monitoring and Evaluation," $13,864.25 ",13864.25,13864.25
2011,4,Disbursements,Economic Support Fund,usaid,Yemen,Yemen,DRG,Good Governance," $17,819.52 ",17819.52,17819.52
2011,2,Obligations,Global Health & Child Survival,U.S.A.I.D,Malawi,Malawi,Health,Family Planning and Reproductive Health," $75,000.00 ",75000,75000
2009,2,Disbursements,Economic Support Fund, USAID,China,East Asia Region,Education and Social Services,Higher Education," $6,861.25 ",6861.25,6861.25
2013,2,Disbursements,Assist. For N.I.S Of Former Soviet Union,usaid,Tajikistan,Tajikistan,Economic Development,Agriculture, $(215.25),-215.25,-215.25
2009,4,Disbursements,Global HIV/AIDS Initiative,U.S.A.I.D,Liberia,Liberia,Health,HIV/AIDS," $253,624.93 ",253624.93,253624.93
2010,2,Obgl.,International Disaster Assistance,usaid,"USAID Democracy, Conflict and Humanitarian Assistance",Panama,Humanitarian Assistance,"Protection, Assistance and Solutions"," $85,536.00 ",85536,85536
2009,2,Disbursements,Development Assistance, USAID,South Africa,South Africa,"Democracy, Human Rights, and Governance",Good Governance," $2,075,571.47 ",2075571.47,2075571.47
2006,40,Obligations,N/A,MCC,Ghana,Ghana,multi-sector,Multi-Sector - Unspecified," $5,801,426.22 ",5801426.22,5801426.22
2009,2,Obligations,Assist. For N.I.S Of Former Soviet Union, USAID,Tajikistan,Tajikistan,Economic Development,Infrastructure," $770,739.15 ",770739.15,770739.15
2014,2,Obligations,Economic Support Fund,usaid,Lebanon,Lebanon,Education and Social Services,Higher Education," $4,572,608.00 ",4572608,4572608
2009,3,Obligations,N/A,MCC,Ghana,Ghana,Economic Development,Agriculture," $(5,663,169.00)",-5663169,-5663169
2011,2,Disbursements,Gifts and Donations,usaid,USAID West Africa Regional,West Africa Region,Education and Social Services,"Social Policies, Regulations, and Systems"," $297,421.77 ",297421.77,297421.77
20014,0,Disbursements,N/A,DoD,Moldova,Moldova,Peace and Security,Counterterrorism," $39,085.00 ",39085,39085
2009,4,Obligations,"Assistance for Europe, Eurasia and Central Asia", USAID,Ukraine,Ukraine,Peace and Security,Transnational Crime," $1,000,000.00 ",1000000,1000000
2012,3,Obligations,N/A,Department of Stata,Honduras,Honduras,,Multi-Sector - Unspecified," $245,895.61 ",245895.61,245895.61
